pv,wind,load
0.0,44.0,524.6
0.0,81.7,508.5
0.0,115.9,521.9
0.0,140.1,514.3
0.0,122.6,513.3
0.0,70.1,526.6
0.0,61.2,514.7
0.0,46.6,526.7
0.0,37.1,516.8
0.0,31.7,540.6
0.0,30.5,533.2
0.0,34.9,530.1
0.0,33.5,528.1
0.0,29.6,519.3
0.0,71.2,526.5
0.0,91.0,512.9
0.0,169.8,522.8
0.0,158.2,507.0
0.0,204.6,531.5
0.0,263.9,523.6
0.0,207.7,525.5
0.0,190.0,529.3
24.7,145.3,550.5
85.9,291.8,556.5
144.2,136.1,554.2
176.1,132.9,575.2
257.3,132.9,579.7
323.4,118.3,576.4
384.5,135.5,593.6
400.0,51.5,609.7
479.9,53.8,603.7
516.2,39.5,623.6
570.6,49.4,640.2
687.0,85.2,632.2
663.0,39.9,648.3
738.5,33.1,655.3
821.6,46.1,656.2
794.6,59.5,660.5
853.2,46.5,655.3
898.1,42.5,653.5
926.6,50.0,637.0
884.7,53.5,618.6
979.1,40.8,607.0
1000.0,24.6,593.2
924.3,15.2,597.1
1000.0,0.0,564.8
1000.0,13.7,570.4
1000.0,14.0,562.6
1000.0,34.4,556.7
1000.0,35.4,552.2
970.1,50.3,541.8
1000.0,59.9,528.8
1000.0,62.5,520.5
993.6,92.9,523.3
1000.0,72.0,528.1
958.6,87.2,536.1
970.9,69.4,535.8
979.3,65.5,534.6
840.6,53.1,541.4
847.0,42.3,530.8
777.9,38.2,518.4
761.9,37.9,528.8
664.8,47.7,547.6
643.2,41.3,546.6
608.2,45.5,553.0
591.0,41.0,553.2
541.2,28.2,568.2
419.7,37.6,583.6
377.9,29.7,591.5
348.2,37.9,611.0
245.3,27.2,628.4
208.7,32.7,637.9
151.0,38.1,653.8
95.0,29.8,656.9
26.4,54.7,685.4
0.0,63.6,682.0
0.0,66.8,679.0
0.0,61.7,686.6
0.0,72.3,685.5
0.0,79.2,688.2
0.0,37.6,689.5
0.0,42.0,695.5
0.0,49.0,666.2
0.0,66.4,654.0
0.0,57.0,665.2
0.0,64.2,633.2
0.0,91.9,614.3
0.0,78.2,624.6
0.0,82.2,576.3
0.0,47.6,588.0
0.0,70.5,584.2
0.0,46.8,573.3
0.0,53.8,568.8
0.0,34.0,555.0
0.0,17.8,545.9
0.0,11.4,524.4
