pv,wind,load
0.0,95.9,604.7
0.0,246.0,615.8
0.0,379.0,606.1
0.0,638.5,619.4
0.0,587.6,621.6
0.0,700.0,600.0
0.0,700.0,624.3
0.0,700.0,625.9
0.0,700.0,594.7
0.0,700.0,614.8
0.0,700.0,619.8
0.0,700.0,618.5
0.0,700.0,614.4
0.0,700.0,609.8
0.0,700.0,614.2
0.0,700.0,616.7
0.0,700.0,618.9
0.0,700.0,627.5
0.0,700.0,638.8
0.0,700.0,629.6
0.0,700.0,639.4
0.0,700.0,644.1
0.0,700.0,635.9
0.0,700.0,646.0
0.0,700.0,645.8
0.0,700.0,669.3
0.0,700.0,675.4
0.0,700.0,682.8
0.0,700.0,707.9
0.0,700.0,717.5
0.0,700.0,725.8
0.0,700.0,735.2
11.2,328.2,748.9
25.6,376.2,746.8
37.3,445.0,765.2
52.7,700.0,762.9
67.6,700.0,780.1
75.1,700.0,774.1
83.5,700.0,756.7
100.2,700.0,755.0
109.8,700.0,723.7
124.5,700.0,746.3
116.2,700.0,718.1
127.3,700.0,708.0
131.5,700.0,693.8
128.8,700.0,655.5
147.0,700.0,678.5
152.5,700.0,672.9
142.7,606.1,646.8
159.9,700.0,640.9
153.3,700.0,640.5
148.5,423.7,625.3
142.2,642.7,638.1
140.7,700.0,603.6
117.4,700.0,615.9
123.0,700.0,628.8
113.7,700.0,616.3
90.3,700.0,624.3
91.0,700.0,620.0
76.6,521.5,621.1
68.2,549.7,630.7
51.2,697.5,630.6
39.0,673.7,632.2
25.8,700.0,647.4
10.8,339.9,659.0
0.0,575.4,647.9
0.0,408.2,663.1
0.0,192.5,685.4
0.0,271.0,707.7
0.0,213.4,691.9
0.0,469.1,730.0
0.0,395.5,727.3
0.0,700.0,768.3
0.0,700.0,774.8
0.0,700.0,804.7
0.0,700.0,807.6
0.0,700.0,810.3
0.0,700.0,805.3
0.0,396.5,799.9
0.0,344.9,802.0
0.0,507.0,803.7
0.0,282.3,795.6
0.0,282.9,802.1
0.0,404.9,785.8
0.0,700.0,754.3
0.0,700.0,768.8
0.0,566.8,738.8
0.0,700.0,694.4
0.0,677.9,707.6
0.0,424.2,691.4
0.0,279.6,686.0
0.0,254.1,694.2
0.0,549.1,640.7
0.0,381.1,650.7
0.0,178.0,646.9
0.0,158.7,659.1
